ID_anonym,IMD_Quintile,WP1_InCare_n_J,WP2_GCSE_both_n_J,WP3_FSM_n_J,WP4_LPN_n_J,WP5_1stGen_n_J,WP6_SEC_J,WP7_IMD_J,wp_sum_J,wp_ind_J
45580427,NA,0,1,0,NA,0,0,0,1,0
45580403,NA,0,NA,NA,NA,0,0,0,0,0
45580349,NA,0,NA,NA,NA,0,0,0,0,0
45580320,NA,0,NA,NA,NA,0,0,0,0,0
45580243,NA,0,NA,NA,NA,0,0,0,0,0
45580230,NA,0,NA,NA,NA,0,0,0,0,0
45580214,NA,0,NA,NA,NA,0,0,0,0,0
45580062,NA,0,NA,NA,NA,0,0,0,0,0
45580007,4,0,0,0,0,0,1,0,1,0
45579986,NA,0,NA,NA,NA,0,0,0,0,0
45579981,NA,0,NA,NA,NA,0,0,0,0,0
45579964,NA,0,NA,NA,NA,0,0,0,0,0
45579853,NA,0,NA,NA,NA,0,0,0,0,0
45579817,4,0,NA,NA,0,0,0,0,0,0
45579525,2,0,1,0,0,0,0,1,2,1
45579510,NA,0,NA,NA,NA,0,0,0,0,0
45579500,NA,0,NA,NA,NA,0,0,0,0,0
45579482,NA,0,NA,NA,NA,0,0,0,0,0
45579448,3,0,1,1,0,0,1,0,3,1
45579444,1,0,1,0,1,0,0,1,3,1
45579369,5,1,0,0,0,0,1,0,2,1
45579342,NA,0,NA,NA,NA,0,0,0,0,0
45579238,2,0,0,0,0,1,1,1,3,1
45579226,3,0,0,0,0,0,1,0,1,0
45579195,4,0,NA,NA,0,0,0,0,0,0
45579173,NA,0,NA,NA,NA,0,0,0,0,0
45579171,NA,0,NA,NA,NA,0,0,0,0,0
45579167,NA,0,NA,NA,NA,0,0,0,0,0
45579143,2,0,0,0,0,1,0,1,2,1
45579141,4,0,NA,NA,0,1,1,0,2,1
45579136,NA,0,NA,NA,NA,0,0,0,0,0
45579127,4,0,NA,NA,0,1,0,0,1,0
