"","ID_anonym","NATIONALITY","ACRONYM.FY.","STARTYEAR.FY.","CURRENTSTAGE.FY.","STAGE_DESCRIPTION.FY.","CURRENTSTATUS.FY.","STATUS_DESCRIPTION.FY.","ACRONYM","STARTYEAR","CURRENTSTAGE","STAGE_DESCRIPTION","CURRENTSTATUS","STATUS_DESCRIPTION","wp_INDEX","WP_ALP_Flag.J.","WP_FSM_Flag.J.","WP_GCSE_Flag.J.","LPN_Quintile.J.","LowSEC_Flag.J.","ParentInHE_Flag.J.","InCare_Flag.J."
"112",45673526,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",4,"Y","Y","N",2,"N","No","Unanswered"
"113",45673705,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","X","Completed","G","Awarded",2,"N","N","N",5,"Y","No","No"
"114",45674377,"Polish","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",2,"Y",NA,NA,2,"N",NA,"No"
"115",45675372,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","X","Completed","G","Awarded",2,"N","Y","N",4,"N","No","Unanswered"
"116",45676259,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","3","Stage 3","7","UG First Sit WO Res",5,"Y","Y","Y",3,"N","No","No"
"117",45676675,"Italian","FY","2015-2016","X","Completed","K","All work completed","AFUPP","2016-2017","4","Stage 4","F","Full",3,"Y",NA,NA,3,"Y",NA,"No"
"118",45676949,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AFUPP","2016-2017","4","Stage 4","F","Full",1,"Y","N","N",5,"N",NA,"No"
"119",45679154,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","X","Completed","G","Awarded",3,"N","Y","N",5,"Y","No","No"
"120",45679458,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","X","Completed","G","Awarded",5,"N","Y","Y",1,"N","No","No"
"121",45681167,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",3,"Y",NA,NA,2,"Y",NA,"No"
"122",45683240,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","L","Left","W","Forced Withdrawn",2,"N","N","N",4,"Y","No","No"
"123",45684033,"Nigerian","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",1,"N","N",NA,3,"N","Yes","No"
"124",45686088,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","X","Completed","G","Awarded",3,"Y",NA,NA,2,"N","No","No"
"125",45771964,"British (ex. Channel Islands & Isle of Man)","FY","2015-2016","X","Completed","K","All work completed","AF","2016-2017","2","Stage 2","F","Full",3,NA,NA,NA,3,"Y","No","No"
"126",45780580,"Pakistani","FY","2015-2016","X","Completed","K","All work completed","MN","2016-2017","X","Completed","G","Awarded",3,NA,NA,NA,1,"Y","Information refused","No"
